,Computed Peak Date/time,Computed Peak Value,Data End Date/time,Data Start Date/time,Exceptions,File Created,Instantaneous Peal Value,Script Version,Script end date,Script start date,Status,Warnings,status
0,1.47599573325e+12,1.2488421573,10-10-2016 08:00:00,10-08-2016 08:00:00,,C:\Users\gpetrochenkov\Documents\Output\output_sea.nc,2.00658104301,V 1.0,08-28-2017 14:12:02,08-28-2017 14:11:50,pending,,complete with no errors
1,,,,,,C:\Users\gpetrochenkov\Documents\Output\output_air.nc,,,,,,,
2,,,,,,C:\Users\gpetrochenkov\Documents\Output\output_stormtide.nc,,,,,,,
3,,,,,,C:\Users\gpetrochenkov\Documents\Output\output_stormtide_unfiltered.nc,,,,,,,
4,,,,,,C:\Users\gpetrochenkov\Documents\Output\output_stormtide_unfiltered.jpg,,,,,,,
5,,,,,,C:\Users\gpetrochenkov\Documents\Output\output_stormtide.jpg,,,,,,,
6,,,,,,C:\Users\gpetrochenkov\Documents\Output\output_barometric_pressure.jpg,,,,,,,
7,,,,,,C:\Users\gpetrochenkov\Documents\Output\output_avg_z_cross.jpg,,,,,,,
8,,,,,,C:\Users\gpetrochenkov\Documents\Output\output_h13.jpg,,,,,,,
9,,,,,,C:\Users\gpetrochenkov\Documents\Output\output_psd_contours.jpg,,,,,,,
